,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2015/01,1,5,0,25,8,1,21,28,4,18,41,32,6,6,2,4,12,4,8,6,1,8,15,22,2,7,24,30,32,35,13,4,17,20,22,23,43,33,9,13,1,7,6,13,17,4,14,45,12,1,0,14,29,0,0,5,10,13,14,23,21,38,0,0,43,17,14,22,28,3,1,31,0,0,30,0,3,45,0,0,42,0,31,0,0,13,2,3,14,20,12,5,14,3,2,4,41,73,41,13,31,27,20,33,38,0
2015/02,1,2,0,31,12,1,22,24,3,19,35,31,5,1,1,0,16,3,0,4,1,4,7,13,2,2,26,17,24,24,13,0,19,15,16,13,27,22,9,12,4,6,2,7,18,7,11,11,12,0,0,16,29,0,0,4,10,7,17,16,21,21,0,0,20,10,10,11,39,3,0,19,0,0,36,0,3,30,0,0,31,0,15,0,0,6,2,3,5,8,10,2,6,4,13,2,36,52,35,35,25,23,25,47,18,0
2015/03,0,8,0,38,19,5,35,45,6,12,49,37,8,11,2,0,19,5,10,9,7,15,22,21,7,15,33,31,45,30,20,1,24,10,37,31,51,47,10,18,11,11,6,17,15,4,17,5,15,1,0,13,46,0,0,5,13,15,13,23,24,46,1,0,33,19,11,19,35,3,1,19,0,0,30,1,5,59,0,0,60,0,10,0,0,0,0,0,1,10,15,1,12,13,10,6,45,81,54,23,53,42,25,60,41,0
2015/04,0,6,0,42,14,1,19,25,10,22,71,37,9,3,2,4,19,5,6,5,3,10,21,34,2,11,17,27,29,29,17,1,24,20,19,22,59,28,8,15,6,12,6,9,7,7,19,2,14,1,0,29,48,0,0,10,13,10,12,20,24,40,5,0,29,14,12,15,24,6,1,29,0,0,40,0,2,68,0,0,56,0,7,0,0,0,0,0,0,12,12,2,10,4,0,3,34,73,51,26,32,30,27,58,40,0
2015/05,1,5,0,33,10,5,24,41,7,7,48,22,10,5,2,1,10,5,15,6,3,10,20,28,0,8,29,26,27,21,6,1,23,22,23,20,42,15,7,9,8,13,5,11,13,12,13,4,13,0,0,14,50,0,0,5,7,9,11,25,21,39,4,0,40,19,18,19,26,2,1,29,0,0,36,2,4,47,0,0,49,0,7,0,0,0,0,0,0,16,20,0,10,2,3,6,33,65,48,20,44,23,14,43,33,0
2015/06,0,5,0,31,15,0,18,17,1,6,48,34,9,9,2,2,18,3,5,4,1,10,22,28,8,13,18,25,26,23,17,1,20,10,17,22,44,19,11,4,0,5,6,3,3,5,16,6,15,2,2,21,42,0,0,10,12,14,10,24,19,28,1,0,32,20,20,25,12,1,0,24,0,0,37,2,1,47,0,0,61,0,5,0,0,0,0,1,0,7,4,0,7,4,2,3,38,55,42,21,31,28,20,65,41,0
2015/07,0,5,0,32,3,4,23,23,2,5,60,25,12,3,5,6,12,3,6,11,7,10,17,20,1,8,13,11,32,24,15,1,20,15,19,16,43,25,4,4,2,2,5,2,1,6,11,5,15,1,1,10,41,0,0,10,14,10,12,22,27,43,2,0,32,19,17,28,31,0,0,18,0,0,37,2,4,45,0,0,57,0,8,0,0,0,0,0,0,2,6,0,3,3,2,2,34,48,46,19,28,25,12,46,53,0
2015/08,0,4,0,23,10,3,31,33,7,18,65,21,7,4,0,4,16,11,12,10,0,22,26,35,4,13,29,26,33,27,13,1,45,24,20,21,62,29,9,5,2,7,8,5,5,5,30,1,11,1,1,19,44,0,0,14,5,15,13,12,12,33,3,0,27,19,22,25,30,5,0,23,0,0,40,0,3,45,0,0,59,0,9,0,0,0,0,0,0,3,5,1,9,7,4,4,21,60,40,27,27,21,16,53,40,0
2015/09,0,3,0,26,7,2,14,24,9,32,62,26,5,9,9,5,10,9,5,16,7,29,34,42,6,7,23,24,17,23,12,3,31,25,20,15,44,39,5,6,5,0,6,5,6,9,11,1,17,1,1,16,41,0,0,11,11,7,15,19,20,45,2,0,24,16,13,22,25,3,1,13,0,0,31,0,1,57,0,0,46,0,5,0,0,0,0,1,0,4,3,0,10,6,8,3,34,56,39,18,27,24,19,50,32,0
2015/10,1,3,0,11,13,5,29,25,11,28,60,17,5,2,6,2,10,5,1,9,5,5,8,19,2,11,30,24,36,21,12,7,15,10,14,22,35,25,15,5,4,9,4,6,7,4,14,2,20,2,0,16,30,0,0,6,10,9,12,13,22,36,6,0,31,13,12,23,20,1,1,14,0,0,36,1,5,48,0,0,55,0,6,0,0,0,0,0,0,3,5,0,4,1,5,4,37,40,47,10,29,33,14,52,30,0
2015/11,1,7,0,8,10,1,15,32,7,29,55,41,0,0,2,6,9,4,6,14,8,22,31,41,8,6,15,25,31,15,13,11,30,21,20,21,58,33,6,16,7,14,9,8,5,8,13,5,20,0,0,24,45,0,0,10,8,11,9,33,26,47,3,0,41,15,18,18,19,1,0,15,0,0,38,1,7,41,0,0,52,0,3,1,0,0,0,0,0,5,4,0,6,7,7,4,35,51,40,23,37,41,22,58,39,0
2015/12,0,4,0,9,9,3,13,9,5,16,51,14,2,0,0,2,13,11,12,9,4,15,28,49,6,1,23,12,25,22,15,12,32,15,21,15,36,24,8,8,3,5,3,11,11,9,20,43,21,1,0,16,31,0,0,8,10,6,11,16,15,45,3,0,23,11,16,15,15,2,1,5,0,0,24,2,1,64,0,0,51,0,19,0,0,14,5,6,22,6,9,5,8,11,2,4,40,50,53,21,24,33,17,53,35,0
2016/01,3,2,0,28,6,3,14,12,16,22,43,25,9,8,7,4,21,5,10,11,6,20,13,31,7,11,29,18,38,36,25,8,32,15,17,23,43,52,7,10,11,8,6,7,11,8,24,32,25,0,0,1,32,0,0,9,6,17,7,27,21,37,4,0,34,14,14,29,18,1,1,30,0,0,32,0,3,53,0,0,60,0,40,3,0,12,4,9,25,24,25,7,7,11,8,6,24,28,36,30,19,14,17,28,30,0
2016/02,0,3,0,27,1,2,3,3,20,31,55,20,8,10,3,5,15,7,5,5,4,10,21,34,8,11,15,33,26,28,20,9,25,10,14,16,38,48,5,8,3,4,6,7,12,12,24,34,22,0,0,6,20,0,0,5,5,11,2,12,11,30,0,0,35,9,13,27,29,0,2,19,0,0,33,1,2,37,0,0,53,0,32,5,0,13,5,1,17,14,23,12,11,11,11,10,23,37,38,29,24,23,5,9,14,0
2016/03,1,2,0,30,3,7,17,9,14,22,50,17,8,9,6,7,19,6,9,18,3,18,32,37,5,14,28,26,41,41,34,13,42,23,24,27,57,49,5,8,11,13,5,14,13,9,29,40,25,2,0,7,35,0,0,10,13,16,10,30,21,41,1,0,29,16,19,50,36,4,1,38,0,0,49,1,4,59,0,0,79,0,52,8,0,25,3,10,16,22,20,5,11,24,6,12,49,49,44,44,23,12,14,17,21,0
2016/04,4,4,0,37,12,3,12,17,11,32,47,25,13,3,4,1,14,7,12,15,3,17,27,55,6,8,21,20,40,25,30,13,25,13,17,20,58,56,7,5,2,3,2,17,10,13,24,41,29,3,0,10,38,0,0,7,11,16,8,31,30,46,4,0,32,12,21,34,35,4,2,37,0,0,41,0,7,65,0,0,65,0,69,8,0,26,7,11,19,27,19,9,15,16,16,11,40,35,62,44,22,20,12,18,14,0
2016/05,2,6,0,32,11,4,12,26,8,22,46,16,11,7,8,6,12,8,7,7,2,22,24,35,4,9,39,37,53,38,35,18,31,20,18,29,41,63,3,14,1,14,9,21,21,14,24,52,14,1,0,15,44,0,0,5,22,14,15,23,25,44,2,0,25,17,18,38,40,1,0,23,0,0,40,0,6,50,0,0,77,0,45,10,0,18,4,7,23,25,15,5,6,14,2,7,38,55,54,52,27,27,19,24,7,0
2016/06,2,0,0,19,7,5,13,19,9,28,60,25,9,6,6,3,23,7,11,12,5,19,26,35,2,9,17,36,46,35,21,18,26,13,15,27,38,41,5,16,6,9,11,14,24,12,24,34,32,4,1,10,42,0,0,7,9,11,19,35,31,35,3,0,27,9,20,38,40,2,1,29,0,0,36,3,13,48,0,0,64,0,49,5,0,26,3,6,28,26,29,8,12,14,9,7,30,46,50,57,26,23,15,20,20,0
